CountryKey,Country,ISO3,Region,IsLatAm,IsPeru,Economy,Governance,Infrastructure,Innovation,Talent,PillarCoverage,Score_Quality,AI_Readiness_Score_AllAvailable,AI_Readiness_Score_Comparable,Global_Rank_Comparable
56,Dominican Republic,DOM,Latin America & Caribbean,True,False,,47.17354542615767,75.98561164808407,0.01432408236347359,24.226804123711343,4,Comparable partial,36.85007132007914,36.85007132007914,32.0
57,Dr Congo,COD,Other Regions,False,False,,13.02971160241878,47.4396146292554,0.0,,3,Low coverage,20.156442077224728,,
58,Ecuador,ECU,Latin America & Caribbean,True,False,,30.770881516329425,86.98324134185265,0.6517457475380484,54.123711340206185,4,Comparable partial,43.13239498648157,43.13239498648157,11.0
59,Egypt,EGY,Other Regions,False,False,2.0,44.48113469499019,50.988040622763876,2.2909579230080577,47.02749140893471,5,Full coverage,29.357524929939366,29.357524929939366,62.0
60,El Salvador,SLV,Latin America & Caribbean,True,False,,27.043994116707687,83.78984818926676,0.007162041181736795,,3,Low coverage,36.94700144905207,,
61,Equatorial Guinea,GNQ,Other Regions,False,False,,11.695737409194198,11.563255220557838,,,2,Low coverage,11.629496314876018,,
62,Eritrea,ERI,Other Regions,False,False,,0.761976238204,0.0,0.0,62.88659793814433,4,Comparable partial,15.912143544087082,15.912143544087082,114.0
63,Estonia,EST,Other Regions,False,False,13.0,63.20185370954783,58.916124965768,2.1772605192479855,31.522336769759445,5,Full coverage,33.76351519286466,33.76351519286466,46.0
64,Eswatini,SWZ,Other Regions,False,False,,45.46303619806836,68.65487506826628,0.0,,3,Low coverage,38.03930375544488,,
65,Ethiopia,ETH,Other Regions,False,False,1.0,17.99129806739894,34.33464069064987,0.07162041181736795,48.44329896907216,5,Full coverage,20.368171627787667,20.368171627787667,102.0
66,Faroe Islands,FRO,Other Regions,False,False,,,,0.0035810205908683975,,1,Low coverage,0.0035810205908683975,,
67,Fiji,FJI,Other Regions,False,False,,55.97423337426378,45.88470571550824,0.053715308863025966,,3,Low coverage,33.97088479954501,,
68,Finland,FIN,Other Regions,False,False,13.0,59.69692529624906,53.35830480508218,5.497314234556849,65.11683848797249,5,Full coverage,39.33387656477212,39.33387656477212,23.0
69,France,FRA,Other Regions,False,False,19.0,68.11774383658432,57.80948738998866,13.624888093106534,18.298969072164947,5,Full coverage,35.37021767836889,35.37021767836889,37.0
70,French Guiana,GUF,Other Regions,False,False,,,,0.0,,1,Low coverage,0.0,,
71,French Polynesia,PYF,Other Regions,False,False,,,,0.010743061772605193,,1,Low coverage,0.010743061772605193,,
72,French Southern Territories,ATF,Other Regions,False,False,,,,,8.762886597938145,1,Low coverage,8.762886597938145,,
73,Gabon,GAB,Other Regions,False,False,,9.055780646337288,35.293745658227245,0.0,,3,Low coverage,14.783175434854845,,
74,Gambia,GMB,Other Regions,False,False,,7.649993710770661,22.942558662226016,0.0,,3,Low coverage,10.19751745766556,,
75,Georgia,GEO,Other Regions,False,False,,31.64703053911545,69.53452080019024,0.40465532676812893,53.09278350515464,4,Comparable partial,38.669747542807116,38.669747542807116,25.0
76,Germany,DEU,Other Regions,False,False,17.0,76.6176353192074,54.85409473065694,15.074306177260521,13.38487972508591,5,Full coverage,35.38618319044215,35.38618319044215,36.0
77,Ghana,GHA,Other Regions,False,False,3.0000000000000004,24.687273792663042,42.203263793967714,0.06982990152193375,59.439862542955325,5,Full coverage,25.8800460062216,25.8800460062216,81.0
79,Greece,GRC,Other Regions,False,False,7.000000000000002,36.13099279391393,55.6592942383341,3.6960608773500447,37.35395189003436,5,Full coverage,27.96805995992649,27.96805995992649,72.0
81,Grenada,GRD,Other Regions,False,False,,29.965486428673707,42.43523567137814,,,2,Low coverage,36.20036105002592,,
82,Guadeloupe,GLP,Other Regions,False,False,,,,0.007162041181736795,,1,Low coverage,0.007162041181736795,,
83,Guam,GUM,Other Regions,False,False,,,,0.0035810205908683975,,1,Low coverage,0.0035810205908683975,,
84,Guatemala,GTM,Latin America & Caribbean,True,False,,19.483248430746468,35.94373230900082,0.007162041181736795,19.587628865979383,4,Comparable partial,18.7554429117271,18.7554429117271,110.0
85,Guinea,GIN,Other Regions,False,False,,17.482299973441556,56.81949020735549,0.0,,3,Low coverage,24.767263393599013,,
86,Guinea-Bissau,GNB,Other Regions,False,False,,16.882344807177862,27.227389057825253,0.0,,3,Low coverage,14.703244621667706,,
87,Guyana,GUY,Latin America & Caribbean,True,False,,17.733915340385337,41.644160700363834,0.0,,3,Low coverage,19.792692013583057,,
88,Haiti,HTI,Latin America & Caribbean,True,False,,4.885671129638667,7.0716474591847645,0.0,,3,Low coverage,3.9857728629411437,,
89,Honduras,HND,Latin America & Caribbean,True,False,,19.941451672534264,66.10669764460523,0.0,39.69072164948454,4,Comparable partial,31.43471774165601,31.43471774165601,55.0
90,Hong Kong,HKG,Other Regions,False,False,15.0,37.92307540599357,54.51459822731281,9.523276633840645,54.81786941580755,5,Full coverage,34.35576393659092,34.35576393659092,42.0
91,Hungary,HUN,Other Regions,False,False,5.0,48.57166370214138,52.46788457595475,1.4798567591763652,39.79037800687286,5,Full coverage,29.461956608829077,29.461956608829077,61.0
92,Iceland,ISL,Other Regions,False,False,8.0,43.299486827815244,66.10678826282772,2.0590868397493285,29.814432989690722,5,Full coverage,29.855958984016603,29.855958984016603,59.0
93,India,IND,Other Regions,False,False,14.000000000000004,65.67073736310337,56.05301331187736,21.84870188003581,45.271477663230236,5,Full coverage,40.568786043649354,40.568786043649354,20.0
94,Indonesia,IDN,Other Regions,False,False,4.0,37.63850885616068,48.076989188902104,5.779319606087736,20.5360824742268,5,Full coverage,23.206180025075465,23.206180025075465,93.0
95,Iran,IRN,Other Regions,False,False,0.0,35.08454059478692,34.02808368514795,5.023724261414504,3.0000000000000004,5,Full coverage,15.427269708269872,15.427269708269872,115.0
96,Iraq,IRQ,Other Regions,False,False,1.0,24.89123179678755,24.628494627731275,1.0908683974932856,2.738831615120275,5,Full coverage,10.869885287426477,10.869885287426477,120.0
97,Ireland,IRL,Other Regions,False,False,12.000000000000002,64.61089774273358,57.64822664078943,3.2591763652641004,31.481099656357383,5,Full coverage,33.799880081028896,33.799880081028896,45.0
99,Israel,ISR,Other Regions,False,False,28.999999999999996,41.692069684748155,48.12884671873996,9.332587287376903,59.85910652920962,5,Full coverage,37.60252204401492,37.60252204401492,30.0
100,Italy,ITA,Other Regions,False,False,5.0,70.18883515630777,57.734664235512994,7.920769919427038,39.69759450171821,5,Full coverage,36.108372762593206,36.108372762593206,34.0
101,Jamaica,JAM,Latin America & Caribbean,True,False,,22.587852854279745,52.481244196547756,0.04297224709042077,6.1855670103092795,4,Comparable partial,20.324409077056803,20.324409077056803,104.0
102,Japan,JPN,Other Regions,False,False,13.0,59.79291705988534,71.46466229212537,10.36705461056401,68.57388316151203,5,Full coverage,44.63970342481734,44.63970342481734,8.0
104,Jordan,JOR,Other Regions,False,False,1.0,38.47630832575009,55.16009678222705,1.9082363473589974,19.567010309278352,5,Full coverage,23.2223303529229,23.2223303529229,92.0
105,Kazakhstan,KAZ,Other Regions,False,False,,37.091123355283514,89.1576030065414,0.4010743061772605,75.77319587628867,4,Comparable partial,50.60574913607271,50.60574913607271,6.0
106,Kenya,KEN,Other Regions,False,False,3.0000000000000004,31.496760089039853,41.87201157473076,0.06624888093106536,51.536082474226795,5,Full coverage,25.594220603785697,25.594220603785697,82.0
107,Kiribati,KIR,Other Regions,False,False,,24.684015748895487,29.208313228419208,,,2,Low coverage,26.946164488657345,,
108,Kosovo,KSV,Other Regions,False,False,,85.19099893837532,76.56565320337852,,,2,Low coverage,80.87832607087691,,
109,Kuwait,KWT,Other Regions,False,False,,34.75361830766762,74.14366162451948,0.17905102954341987,26.804123711340207,4,Comparable partial,33.97011366826768,33.97011366826768,44.0
