Country,ISO3,Economy,General,Governance,Infrastructure,Innovation,Talent,AI_Readiness_Score,Global_Rank,CountryKey,Region,IsLatAm,IsPeru
Timor-Leste,TLS,,,40.48712552784136,32.22200165803566,0.0035810205908683,,24.23756940215597,107,203,Other Regions,False,False
St. Vincent And The Grenadines,VCT,,,33.2790335039681,38.95223820782473,0.0,,24.07709057059761,108,192,Other Regions,False,False
Chile,CHL,6.0,9.183673469387756,51.05592375927071,58.37329752857119,0.8706356311548792,16.78694158075601,23.71174532819009,109,39,Latin America & Caribbean,True,False
Serbia,SRB,1.0,5.1020408163265305,38.02103471494765,57.56220887584946,1.4082363473589974,38.75945017182131,23.64216182105066,110,176,Other Regions,False,False
New Zealand,NZL,4.0,7.142857142857142,35.69785989653249,58.04860960265788,2.628469113697404,34.26116838487973,23.62982735677077,111,146,Other Regions,False,False
Madagascar,MDG,,,37.23093120532322,32.52638647198561,0.0071620411817367,,23.254826572830197,112,121,Other Regions,False,False
Qatar,QAT,0.0,6.122448979591836,39.15780425824805,53.85823410491509,1.8187108325872876,38.446735395189,23.23398892842188,113,167,Other Regions,False,False
Croatia,HRV,16.0,7.142857142857142,30.63198096198182,45.46751340409345,1.2291853178155774,38.42611683848798,23.149608944205998,114,48,Other Regions,False,False
Ukraine,UKR,2.0,6.122448979591836,50.98363562911288,50.22540106411042,1.0872873769024172,27.78350515463917,23.033713034059456,115,213,Other Regions,False,False
Liberia,LBR,,,12.297091084326397,39.38815078882048,0.0035810205908683,40.20618556701031,22.97375211518701,116,115,Other Regions,False,False
Slovakia,SVK,4.0,4.081632653061225,35.87971461541946,48.14660448861896,1.3115487914055506,43.22680412371134,22.77438411203609,117,180,Other Regions,False,False
Burkina Faso,BFA,,,15.565385660729753,52.70240916585763,0.0035810205908683,,22.757125282392757,118,30,Other Regions,False,False
Suriname,SUR,,,31.875212837660957,36.06294922672711,0.0,,22.646054021462685,119,194,Latin America & Caribbean,True,False
Malta,MLT,6.0,10.20408163265306,58.714674157734855,52.944814422866585,1.5590868397493285,6.0,22.570442842167303,120,126,Other Regions,False,False
Argentina,ARG,2.0,7.142857142857142,43.24037138202819,42.1748603200419,0.7309758281110117,39.79037800687285,22.51324044665185,121,8,Latin America & Caribbean,True,False
Ghana,GHA,3.0,3.061224489795918,24.68727379266304,42.203263793967714,0.0698299015219337,59.439862542955325,22.076909086817324,122,77,Other Regions,False,False
Lebanon,LBN,,,11.03106544541337,27.66678160534597,0.3366159355416294,48.453608247422686,21.872017808430915,123,113,Other Regions,False,False
Mozambique,MOZ,,,14.405439352391404,50.943454472963744,0.0107430617726051,,21.786545629042585,124,139,Other Regions,False,False
Kenya,KEN,3.0,2.0408163265306123,31.49676008903985,41.87201157473076,0.0662488809310653,51.5360824742268,21.668653224243183,125,106,Other Regions,False,False
Seychelles,SYC,,,34.541897473822935,30.356215734724767,0.0035810205908683,,21.633898076379523,126,177,Other Regions,False,False
Nigeria,NGA,1.0,3.061224489795918,26.00164526477853,32.2400629375399,0.8724261414503134,65.96907216494846,21.52407183308552,127,149,Other Regions,False,False
Romania,ROU,1.0,6.122448979591836,44.3303279405657,44.55626789793756,1.3146821844225605,31.563573883161517,21.481216814279865,128,169,Other Regions,False,False
